track,id,playlist_id,mode,key,variable,value
Mañana,2ajLNMlhZD1iHLSdxko6Q2,3FInOSJaKv5QzLQrd3lCgA,1.0,11.0,danceability,0.545
Mi Luz,4eEp4ScvWRrMVnfxWPSlHI,3FInOSJaKv5QzLQrd3lCgA,1.0,2.0,danceability,0.62
Bahama Mamma,69KJ9nG26efkWaLAe48CJx,3FInOSJaKv5QzLQrd3lCgA,1.0,4.0,danceability,0.225
Desvelo,3Oz3gXJU0VRNHT3laBIbam,3FInOSJaKv5QzLQrd3lCgA,1.0,11.0,danceability,0.722
Fugitiva,1hNVJPegIY8YBmYTQoEhlg,3FInOSJaKv5QzLQrd3lCgA,1.0,6.0,danceability,0.656
Noches Prohibidas,0J5Lqx3hDPF4GFYWGtJLZA,3FInOSJaKv5QzLQrd3lCgA,1.0,4.0,danceability,0.622
Las Leyes (feat. David Ruiz & La Maravillosa Orquesta del Alcohol),14VAyUg8DZ2OxzKmnpEFMr,3FInOSJaKv5QzLQrd3lCgA,1.0,5.0,danceability,0.582
Open Road - EP Version,4xIEGm9vCYmdrz4tLWczM4,3FInOSJaKv5QzLQrd3lCgA,1.0,5.0,danceability,0.564
Rutas Salvajes,2BTRX91dZwz7jeSZnkuk3T,3FInOSJaKv5QzLQrd3lCgA,0.0,8.0,danceability,0.526
Encima de Saturno,1CD3c3afpN7ake1Jbzo21h,3FInOSJaKv5QzLQrd3lCgA,1.0,4.0,danceability,0.687
Ya no volverás,3N8hXMLJyiyH5f1Y4jNxD9,3FInOSJaKv5QzLQrd3lCgA,1.0,3.0,danceability,0.576
El Palmar,5OlxsR8AHWPbFD1aExXgvs,3FInOSJaKv5QzLQrd3lCgA,1.0,11.0,danceability,0.588
We Deserve To Dream,4uxap3PpnxFo7BeNcXtEnq,3FInOSJaKv5QzLQrd3lCgA,1.0,8.0,danceability,0.434
I Loved You Then (And I Love You Still),5dWTDZf56Aw4e0JGhRWma8,3FInOSJaKv5QzLQrd3lCgA,1.0,11.0,danceability,0.688
ABC,5BAHP1SSe7fdFsWTu9yoiU,3FInOSJaKv5QzLQrd3lCgA,1.0,7.0,danceability,0.608
Toni 2,1DhOOJTD8MjYoOO6AsbcDE,3FInOSJaKv5QzLQrd3lCgA,1.0,0.0,danceability,0.565
False Confidence,7nDFTHHwfe32a8qdp9XqPy,3FInOSJaKv5QzLQrd3lCgA,1.0,6.0,danceability,0.414
Gravedad,6Ah4tAMfLy98VyMFRC8S0v,3FInOSJaKv5QzLQrd3lCgA,1.0,10.0,danceability,0.43
I BELIEVE,2Xqrj5tSNMmAlW2r8m6cUZ,3FInOSJaKv5QzLQrd3lCgA,1.0,1.0,danceability,0.76
Christmas Bells,5XpNyWYhthe92tlmkOXqwI,3FInOSJaKv5QzLQrd3lCgA,1.0,7.0,danceability,0.383
Let Me Go,3Ck8b3m57HH63R3MUmzgGm,3FInOSJaKv5QzLQrd3lCgA,1.0,3.0,danceability,0.602
Suncats,5XIcW0qh8N0mqMmJZYvsRC,3FInOSJaKv5QzLQrd3lCgA,1.0,7.0,danceability,0.585
