track,id,playlist_id,playlist,top-track,duration_ms,mode,key,variable,value
Night Changes - TikTok Trend Edit,2aI1w1mOryx5ngfvnS4hk3,5hJEgBdGwr6dWyf4lieSV9,2022,False,130680.0,1.0,10.0,loudness_normalized,0.1764472761637655
Look Who’s Inside Again,0lZZ8pibk6Zu3M9hTthk1a,5hJEgBdGwr6dWyf4lieSV9,2022,False,83422.0,1.0,2.0,loudness_normalized,0.2695180318873273
That Funny Feeling,5CU5CRWy6PjUJsHCVbkYI2,5hJEgBdGwr6dWyf4lieSV9,2022,False,301111.0,1.0,4.0,loudness_normalized,0.3446635978416608
La Bilirrubina,7rCE3KwSwzNh8n8LC4O3zJ,5hJEgBdGwr6dWyf4lieSV9,2022,False,230000.0,1.0,1.0,loudness_normalized,0.3207938298326372
Lost in My Mind,563iNuGeBdAegSCMRSMjMH,5hJEgBdGwr6dWyf4lieSV9,2022,False,259120.0,1.0,2.0,loudness_normalized,0.2352223881962015
All We Ever Knew,72zmwnbXjx9fMUjw3mbDSs,5hJEgBdGwr6dWyf4lieSV9,2022,False,225560.0,1.0,0.0,loudness_normalized,0.16800292656159493
Another Story,5nFAzVoza96Kbxj83YsCvw,5hJEgBdGwr6dWyf4lieSV9,2022,False,274200.0,1.0,5.0,loudness_normalized,0.28921135262018716
Hurts (But It Goes Away),6ncAWORMhjFcZTO3d2uXrg,5hJEgBdGwr6dWyf4lieSV9,2022,False,194533.0,1.0,0.0,loudness_normalized,0.10047861476084502
SPNB,3gy6bTJQfwO7rvMSDa4ZSX,5hJEgBdGwr6dWyf4lieSV9,2022,False,196240.0,1.0,9.0,loudness_normalized,0.24970277108801023
Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,2AjwEGmjc0VEaf25Dbjb1M,Life Is Wonderful,False,177955.0,1.0,10.0,loudness_normalized,0.12806755479681733
Dile,2OuBMo9jsbDJuJD1QhSpsY,5hJEgBdGwr6dWyf4lieSV9,2022,False,241756.0,0.0,1.0,loudness_normalized,0.18705606194555371
No sé cuánto tiempo,4SgsrNZ2eezKEXmoXyx6O0,5hJEgBdGwr6dWyf4lieSV9,2022,False,201291.0,1.0,6.0,loudness_normalized,0.1546504892845166
Color Miel,2QpfoVwgFdiuUeTTnSh4z0,5hJEgBdGwr6dWyf4lieSV9,2022,False,274173.0,0.0,4.0,loudness_normalized,0.3000945035515044
Feliz Cumpleaños Ferxxo,3kUq4sBcmxhnOtNysZ9yrp,5hJEgBdGwr6dWyf4lieSV9,2022,False,156400.0,1.0,5.0,loudness_normalized,0.15678444044752002
Sembra Di Essere Al Mare,2Mb4dh89xnSfQF1vQSCFcQ,5hJEgBdGwr6dWyf4lieSV9,2022,False,197969.0,1.0,11.0,loudness_normalized,0.17278907417004538
Otra historia de amor,5nVAcRWBMrs2W9pKOHM8Lc,5hJEgBdGwr6dWyf4lieSV9,2022,False,319457.0,1.0,9.0,loudness_normalized,0.242752187299942
El Espejo,70j4f3OJEg1VlvIzZbmepc,5hJEgBdGwr6dWyf4lieSV9,2022,False,152250.0,1.0,8.0,loudness_normalized,0.2702496722860714
"Te Aviso, Te Anuncio (Tango)",1w5nWhUzrQqj0WnDXrgsnC,5hJEgBdGwr6dWyf4lieSV9,2022,False,223200.0,0.0,11.0,loudness_normalized,0.15330914855348593
Si Te Vas,7Apo6o7oxgFyXaSmdx6NHN,5hJEgBdGwr6dWyf4lieSV9,2022,False,210267.0,1.0,2.0,loudness_normalized,0.15437612413498764
